10:07:44.403 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2f90fafd, org.springframework.security.web.context.SecurityContextPersistenceFilter@58a5da99, org.springframework.security.web.header.HeaderWriterFilter@74987b19, org.springframework.security.web.authentication.logout.LogoutFilter@4217adde, org.springframework.security.web.session.ConcurrentSessionFilter@3c89bf35, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@262d9d9b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6fd22227, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4511a757, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@78c33b29, org.springframework.security.web.session.SessionManagementFilter@1b2639eb, org.springframework.security.web.access.ExceptionTranslationFilter@20d89217, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@45bd8dd3]
10:07:44.434 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:07:44.442 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
10:07:44.445 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Started AssignmentApplication in 0.255 seconds (JVM running for 660.155)
10:07:44.446 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:08:11.410 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Starting AssignmentApplication using Java 19.0.1 on Khaoula with PID 30516 (C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment\target\classes started by jbeli in C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment)
10:08:11.410 [restartedMain] INFO  c.e.assignment.AssignmentApplication - No active profile set, falling back to default profiles: default
10:08:11.573 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
10:08:11.574 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:08:11.574 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
10:08:11.587 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:08:11.587 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 175 ms
